Level,Importance Rank,Category,Title,Approach Tags,Difficulty,Frequency,Acceptance Rate,Link,Topics,Importance Rank.1
Easy,32,Array,Move Zeroes,Problem-specific,EASY,67.6,0.0064265428481269,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers",32
Easy,33,Linked List,Palindrome Linked List,Recursion,EASY,31.3,0.0058607974134847,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion",33
Easy,34,String,Palindrome Number,Problem-specific,EASY,76.9,0.0060874502043782,https://leetcode.com/problems/palindrome-number,Math,34
Easy,35,Array,Range Sum Query - Immutable,Hashing,EASY,51.8,0.007316412237677,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum",35
Easy,36,String,Remove Digit From Number to Maximize Result,Greedy,EASY,59.4,0.004876906238599,https://leetcode.com/problems/remove-digit-from-number-to-maximize-result,"String, Greedy, Enumeration",36
Easy,37,Array,Remove Duplicates from Sorted Array,Problem-specific,EASY,59.4,0.0063563061696829,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",37
Easy,38,Array,Remove Element,Problem-specific,EASY,31.3,0.0062371952394015,https://leetcode.com/problems/remove-element,"Array, Two Pointers",38
Easy,39,Database,Replace Employee ID With The Unique Identifier,Problem-specific,EASY,31.3,0.0083756063941001,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,Database,39
Easy,40,String,Reverse String,Problem-specific,EASY,40.2,0.0081197397713531,https://leetcode.com/problems/reverse-string,"Two Pointers, String",40
Easy,41,String,Reverse String II,Problem-specific,EASY,31.3,0.0054346593210726,https://leetcode.com/problems/reverse-string-ii,"Two Pointers, String",41
Easy,42,Database,Rising Temperature,Problem-specific,EASY,31.3,0.0051939349299601,https://leetcode.com/problems/rising-temperature,Database,42
Easy,43,String,Roman to Integer,Hashing,EASY,40.2,0.0067049371270749,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",43
Easy,44,Array,Search Insert Position,Divide and Conquer,EASY,31.3,0.0052016646595472,https://leetcode.com/problems/search-insert-position,"Array, Binary Search",44
Easy,45,String,Sort the People,Hashing,EASY,62.5,0.0084809144644894,https://leetcode.com/problems/sort-the-people,"Array, Hash Table, String, Sorting",45
Easy,46,String,Split a String in Balanced Strings,Greedy,EASY,31.3,0.0087570730858342,https://leetcode.com/problems/split-a-string-in-balanced-strings,"String, Greedy, Counting",46
Easy,47,Array,Sqrt(x),Divide and Conquer,EASY,31.3,0.0042230786197889,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method",47
Easy,48,Array,Squares of a Sorted Array,Problem-specific,EASY,31.3,0.0074064939466799,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting",48
Easy,49,Trees,Symmetric Tree,Recursion,EASY,31.3,0.0061825805576752,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",49
Easy,50,Array,Transform Array by Parity,Problem-specific,EASY,69.8,0.0089893603725952,https://leetcode.com/problems/transform-array-by-parity,"Array, Sorting, Counting",50
Easy,51,Array,Trionic Array I,Problem-specific,EASY,62.5,0.004951499259823,https://leetcode.com/problems/trionic-array-i,Array,51
Easy,52,String,Valid Anagram,Hashing,EASY,69.8,0.0068532534968845,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",52
Easy,53,String,Valid Palindrome,Problem-specific,EASY,46.7,0.0054070463202163,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",53
Easy,54,String,Valid Parentheses,Problem-specific,EASY,69.8,0.0044725623543238,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences",54
Medium,1,Array,Two Sum II - Input Array Is Sorted,Hashing,MEDIUM,31.3,0.0065686119632546,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search",1
Medium,2,Array,Maximum Subarray,Dynamic Programming;Divide and Conquer,MEDIUM,81.1,0.0053735433346384,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",2
Medium,3,Trees,Maximum Subarray Min-Product,Dynamic Programming;Divide and Conquer,MEDIUM,31.3,0.0040793174485217,https://leetcode.com/problems/maximum-subarray-min-product,"Array, Stack, Monotonic Stack, Prefix Sum, Cartesian Tree",3
Medium,4,Array,Best Time to Buy and Sell Stock II,Greedy;Dynamic Programming,MEDIUM,55.9,0.0071501771233668,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",4
Medium,5,Array,Best Time to Buy and Sell Stock with Transaction Fee,Greedy;Dynamic Programming,MEDIUM,31.3,0.0072482399320804,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy",5
Medium,6,Array,Merge Intervals,Greedy,MEDIUM,65.2,0.0052576408197913,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort",6
Medium,7,Array,Product of Array Except Self,Hashing,MEDIUM,51.8,0.0069164514815021,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",7
Medium,8,Array,Subarray Sum Equals K,Hashing,MEDIUM,76.9,0.0047980045528133,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",8
Medium,9,Trees,Longest Substring Without Repeating Characters,Sliding Window;Hashing,MEDIUM,92.8,0.0039779437168237,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",9
Medium,10,Array,3Sum,Problem-specific,MEDIUM,62.5,0.0039693083707117,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",10
Medium,11,Array,3Sum Closest,Problem-specific,MEDIUM,31.3,0.0049205507269779,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting",11
Medium,12,Array,Container With Most Water,Greedy,MEDIUM,67.6,0.0060648251320755,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",12
Medium,13,Array,Next Permutation,Greedy,MEDIUM,65.2,0.004595885374911,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",13
Medium,14,Linked List,Reverse Linked List II,Recursion,MEDIUM,46.7,0.005217653929597,https://leetcode.com/problems/reverse-linked-list-ii,Linked List,14
Medium,15,Linked List,Linked List Cycle II,Hashing,MEDIUM,40.2,0.0058884843152534,https://leetcode.com/problems/linked-list-cycle-ii,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm",15
Medium,16,Graph,Number of Islands,Recursion,MEDIUM,59.4,0.0064960406379741,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",16
Medium,17,Graph,Rotting Oranges,Recursion,MEDIUM,62.5,0.0059276167867718,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix",17
Medium,18,Graph,Course Schedule,Recursion,MEDIUM,31.3,0.0052040278087262,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph",18
Medium,19,Graph,Dijkstra's Algorithm,Greedy,MEDIUM,,,https://www.geeksforgeeks.org/dsa/dijkstras-shortest-path-algorithm-greedy-algo-7/,"Graph, Shortest Path, Heap",19
Medium,20,Array,Jump Game,Greedy;Dynamic Programming,MEDIUM,40.2,0.0041384848392938,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",20
Medium,21,Array,Jump Game II (Minimum Jumps),Greedy;Dynamic Programming,MEDIUM,31.0,42.9,https://leetcode.com/problems/jump-game-ii/,"Array, Dynamic Programming, Greedy",21
Medium,22,Array,Gas Station,Greedy,MEDIUM,73.6,0.0048557065723328,https://leetcode.com/problems/gas-station,"Array, Greedy",22
Medium,23,Array,Fractional Knapsack,Greedy,MEDIUM,,,https://www.geeksforgeeks.org/dsa/fractional-knapsack-problem/,"Array, Greedy, Sorting",23
Medium,24,Array,Coin Change,Dynamic Programming,MEDIUM,62.5,0.0048973335998582,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack",24
Medium,25,Array,Coin Change II,Dynamic Programming,MEDIUM,31.3,0.0059302753703109,https://leetcode.com/problems/coin-change-ii,"Array, Dynamic Programming, Knapsack Problem, Complete Knapsack",25
Medium,26,Array,Partition Equal Subset Sum,Dynamic Programming;Recursion,MEDIUM,12.0,49.9,https://leetcode.com/problems/partition-equal-subset-sum/,"Array, Dynamic Programming, Knapsack",26
Medium,27,Array,Subset Sum,Dynamic Programming;Recursion,MEDIUM,,,https://www.geeksforgeeks.org/dsa/subset-sum-problem-dp-25/,"Array, Dynamic Programming",27
Medium,28,Array,Subsets,Backtracking,MEDIUM,40.2,0.0082715700607687,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",28
Medium,29,String,Longest Common Subsequence,Dynamic Programming;Recursion,MEDIUM,12.0,59.3,https://leetcode.com/problems/longest-common-subsequence/,"String, Dynamic Programming",29
Medium,30,String,Edit Distance,Dynamic Programming;Recursion,MEDIUM,51.8,0.0061119471678306,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",30
Medium,31,String,Longest Palindromic Subsequence,Dynamic Programming;Recursion,MEDIUM,40.2,0.0065803856299661,https://leetcode.com/problems/longest-palindromic-subsequence,"String, Dynamic Programming",31
Medium,32,String,Palindrome Partitioning,Backtracking;Dynamic Programming;Recursion,MEDIUM,46.7,0.0074505019674762,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking",32
Medium,33,Array,Sliding Window Maximum (K-Sized Window),Sliding Window,MEDIUM,50.0,48.9,https://leetcode.com/problems/sliding-window-maximum/,"Array, Queue, Sliding Window, Heap, Monotonic Queue",33
Medium,34,Array,Count Inversions,Divide and Conquer;Recursion,MEDIUM,,,https://www.geeksforgeeks.org/dsa/inversion-count-in-array-using-merge-sort/,"Array, Divide and Conquer, Sorting",34
Medium,35,Array,Minimum Cost to Connect Ropes,Greedy,MEDIUM,,,https://www.geeksforgeeks.org/problems/minimum-cost-of-ropes-1587115620/1,"Array, Heap, Greedy",35
Medium,36,Array,Celebrity Problem,Recursion,MEDIUM,,,https://www.geeksforgeeks.org/problems/the-celebrity-problem/1,"Array, Stack, Graph",36
Medium,37,Graph,Bridge Edge in Graph,Recursion;Divide and Conquer,MEDIUM,,,https://www.geeksforgeeks.org/dsa/bridge-in-a-graph/,"Graph, DFS, Bridges",37
Medium,38,Graph,M-Coloring Problem,Backtracking;Recursion,MEDIUM,,,https://www.geeksforgeeks.org/dsa/m-coloring-problem/,"Graph, Backtracking",38
Medium,39,Array,4Sum,Problem-specific,MEDIUM,51.8,0.0041456505921733,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",39
Medium,40,Linked List,Add Two Numbers,Recursion,MEDIUM,46.7,0.0049133079230452,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",40
Medium,41,Array,Asteroid Collision,Problem-specific,MEDIUM,31.3,0.0048763003866823,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation",41
Medium,42,Array,Binary Subarrays With Sum,Sliding Window;Hashing,MEDIUM,5.0,69.7,https://leetcode.com/problems/binary-subarrays-with-sum/,"Array, Hash Table, Sliding Window, Prefix Sum",42
Medium,43,Array,Bulb Switcher,Problem-specific,MEDIUM,46.7,0.0056328949411319,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser",43
Medium,44,String,Can Convert String in K Moves,Hashing,MEDIUM,62.5,0.0037963589184414,https://leetcode.com/problems/can-convert-string-in-k-moves,"Hash Table, String",44
Medium,45,Array,Car Pooling,Hashing,MEDIUM,40.2,0.0056475285904352,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum",45
Medium,46,Array,Combinations,Backtracking,MEDIUM,40.2,0.0075021553371385,https://leetcode.com/problems/combinations,Backtracking,46
Medium,47,Array,Contiguous Array,Hashing,MEDIUM,40.2,0.0052083131274161,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum",47
Medium,48,Array,Continuous Subarray Sum,Hashing,MEDIUM,31.3,0.0031594585748565,https://leetcode.com/problems/continuous-subarray-sum,"Array, Hash Table, Math, Prefix Sum, Pigeonhole Principle",48
Medium,49,Array,Count Good Numbers,Recursion,MEDIUM,31.3,0.0057991269962772,https://leetcode.com/problems/count-good-numbers,"Math, Recursion",49
Medium,50,Array,Daily Temperatures,Problem-specific,MEDIUM,31.3,0.0069056889720457,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack",50
Medium,51,String,Decode Ways,Dynamic Programming,MEDIUM,46.7,0.0038445763278031,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",51
Medium,52,Trees,Delete Node in a BST,"Recursion, Divide and Conquer",MEDIUM,31.3,0.0055257316381749,https://leetcode.com/problems/delete-node-in-a-bst,"Tree, Binary Search Tree, Binary Tree",52
Medium,53,String,Delete Operation for Two Strings,Dynamic Programming,MEDIUM,46.7,0.0066143362562978,https://leetcode.com/problems/delete-operation-for-two-strings,"String, Dynamic Programming, Longest Common Subsequence",53
Medium,54,Array,Delete and Earn,Hashing;Dynamic Programming,MEDIUM,31.3,0.0057478249759832,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming",54
Medium,55,Array,Determine the Minimum Sum of a k-avoiding Array,Greedy,MEDIUM,62.5,0.0061167711598746,https://leetcode.com/problems/determine-the-minimum-sum-of-a-k-avoiding-array,"Math, Greedy",55
Medium,56,Array,Eat Pizzas!,Greedy,MEDIUM,69.8,0.0033866489232383,https://leetcode.com/problems/eat-pizzas,"Array, Greedy, Sorting",56
Medium,57,Array,Evaluate Reverse Polish Notation,Problem-specific,MEDIUM,31.3,0.0058488149583672,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack",57
Medium,58,Array,Find First and Last Position of Element in Sorted Array,Divide and Conquer,MEDIUM,40.2,0.0049506131658267,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",58
Medium,59,Array,Find Minimum in Rotated Sorted Array,Divide and Conquer,MEDIUM,40.2,0.0055170602322766,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search",59
Medium,60,Array,Find Missing and Repeating Number,Hashing,MEDIUM,37.4,83.2,https://www.geeksforgeeks.org/dsa/find-a-repeating-and-a-missing-number/,"Array, Hash Table, Math",60
Medium,61,Array,Find Peak Element,Divide and Conquer,MEDIUM,51.8,0.0047140549633639,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",61
Medium,62,Array,Find the Minimum Possible Sum of a Beautiful Array,Greedy,MEDIUM,62.5,0.003464446092366,https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array,"Math, Greedy",62
Medium,63,Linked List,Flatten Linked List,Recursion;Divide and Conquer,MEDIUM,,,https://www.geeksforgeeks.org/problems/flattening-a-linked-list/1,"Linked List, Recursion",63
Medium,64,Array,Frequency of the Most Frequent Element,Sliding Window;Greedy,MEDIUM,51.8,0.0045125064509529,https://leetcode.com/problems/frequency-of-the-most-frequent-element,"Array, Binary Search, Greedy, Sliding Window, Sorting, Prefix Sum",64
Medium,65,String,Generate Parentheses,Backtracking;Dynamic Programming,MEDIUM,59.4,0.0079066141431321,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences",65
Medium,66,Array,Gold Mine Problem,Dynamic Programming;Recursion,MEDIUM,,,https://www.geeksforgeeks.org/dsa/gold-mine-problem/,"Array, Matrix, Dynamic Programming",66
Medium,67,String,Group Anagrams,Hashing,MEDIUM,67.6,0.0073129013103179,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",67
Medium,68,Array,House Robber,Dynamic Programming,MEDIUM,71.8,0.0053502706416376,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",68
Medium,69,Array,House Robber II,Dynamic Programming,MEDIUM,40.2,0.0045403946510001,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming",69
Medium,70,Array,Integer Break,Dynamic Programming,MEDIUM,31.3,0.0062631305988383,https://leetcode.com/problems/integer-break,"Math, Dynamic Programming",70
Medium,71,String,Integer to Roman,Hashing,MEDIUM,40.2,0.0071496169978701,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",71
Medium,72,Array,K-diff Pairs in an Array,Hashing,MEDIUM,31.3,0.0046237859127708,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting",72
Medium,73,Array,Koko Eating Bananas,Divide and Conquer,MEDIUM,55.9,0.0050395918893365,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",73
Medium,74,Array,Kth Largest Element in an Array,Divide and Conquer,MEDIUM,51.8,0.0069243727225896,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",74
Medium,75,String,LCS of Three Strings,Dynamic Programming;Recursion,MEDIUM,,,https://www.geeksforgeeks.org/problems/lcs-of-three-strings0028/1,"String, Dynamic Programming",75
Medium,76,String,Largest Number,Greedy,MEDIUM,40.2,0.0043585097260913,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting",76
Medium,77,Trees,Largest Number After Mutating Substring,Greedy,MEDIUM,62.5,0.0038339593460008,https://leetcode.com/problems/largest-number-after-mutating-substring,"Array, String, Greedy",77
Medium,78,Array,Last Stone Weight II,Dynamic Programming,MEDIUM,31.3,0.0060566083586294,https://leetcode.com/problems/last-stone-weight-ii,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack",78
Medium,79,String,Letter Combinations of a Phone Number,Hashing;Backtracking,MEDIUM,31.3,0.0066659966531563,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",79
Medium,80,Array,Longest Consecutive Sequence,Hashing,MEDIUM,46.7,0.0047208319281178,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find",80
Medium,81,Array,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Sliding Window,MEDIUM,31.3,0.0057919058831829,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",81
Medium,82,String,Longest Increasing Subsequence,Dynamic Programming,MEDIUM,51.8,0.0059848561895305,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence",82
Medium,83,Trees,Longest Palindromic Substring,Dynamic Programming,MEDIUM,69.8,0.0038471122187687,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher",83
Medium,84,String,Longest Repeating Character Replacement,Sliding Window;Hashing,MEDIUM,46.7,0.0060430341321485,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window",84
Medium,85,String,Longest Subsequence With Non-Zero Bitwise XOR,Problem-specific,MEDIUM,31.3,0.0055315973207347,https://leetcode.com/problems/longest-subsequence-with-non-zero-bitwise-xor,"Array, Bit Manipulation",85
Medium,86,Array,Longest Well-Performing Interval,Hashing,MEDIUM,62.5,0.0038143241674143,https://leetcode.com/problems/longest-well-performing-interval,"Array, Hash Table, Stack, Monotonic Stack, Prefix Sum",86
Medium,87,Array,Magic Squares In Grid,Hashing,MEDIUM,31.3,0.0055225896677716,https://leetcode.com/problems/magic-squares-in-grid,"Array, Hash Table, Math, Matrix",87
Medium,88,Array,Max Consecutive Ones III,Sliding Window,MEDIUM,46.7,0.0068276636494169,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum",88
Medium,89,Array,Maximum Absolute Sum of Any Subarray,Dynamic Programming,MEDIUM,31.3,0.0070754901960784,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray,"Array, Dynamic Programming",89
Medium,90,Array,Maximum Bags With Full Capacity of Rocks,Greedy,MEDIUM,46.7,0.0068258713977196,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks,"Array, Greedy, Sorting",90
Medium,91,Array,Maximum Meetings in One Room,Greedy,MEDIUM,,,https://www.geeksforgeeks.org/problems/maximum-meetings-in-one-room/1,"Array, Greedy, Sorting, Intervals",91
Medium,92,Array,Maximum Number of Consecutive Values You Can Make,Greedy,MEDIUM,62.5,0.0064295274136976,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make,"Array, Greedy, Sorting",92
Medium,93,Array,Maximum OR,Greedy,MEDIUM,31.3,0.0043697638994668,https://leetcode.com/problems/maximum-or,"Array, Greedy, Bit Manipulation, Prefix Sum",93
Medium,94,Array,Maximum Product After K Increments,Greedy,MEDIUM,62.5,0.0044192756517119,https://leetcode.com/problems/maximum-product-after-k-increments,"Array, Greedy, Heap (Priority Queue)",94
Medium,95,Array,Maximum Product Subarray,Dynamic Programming,MEDIUM,46.7,0.0036892237028175,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming",95
Medium,96,Array,Maximum Sum Circular Subarray,Dynamic Programming;Divide and Conquer,MEDIUM,40.2,0.0051156893499968,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue",96
Medium,97,Array,Min Stack,Problem-specific,MEDIUM,46.7,0.0058550449392543,https://leetcode.com/problems/min-stack,"Stack, Design",97
Medium,98,Array,Minimum Addition to Make Integer Beautiful,Greedy,MEDIUM,62.5,0.0038955318740115,https://leetcode.com/problems/minimum-addition-to-make-integer-beautiful,"Math, Greedy",98
Medium,99,String,Minimum Bracket Reversals to Balance,Greedy,MEDIUM,,,https://www.geeksforgeeks.org/dsa/minimum-number-of-bracket-reversals-needed-to-make-an-expression-balanced/,"String, Stack, Greedy",99
Medium,100,Array,Minimum Moves to Equal Array Elements,Problem-specific,MEDIUM,31.3,0.0059018139951654,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,"Array, Math",100
Medium,101,String,Minimum Number of Swaps to Make the String Balanced,Greedy,MEDIUM,40.2,0.0078043810966654,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,"Two Pointers, String, Stack, Greedy, Bracket Sequences",101
